run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_039 350 37 10.0000 0.7-1 34.0000 7.42946 25.3292 529 128 0.113243 2009-01-01T05:02 47 966 0.0837838 2009-01-02T15:50:01.622 5.45892 -5.45892 0.286779 0.290735
run_001 270 28 90.0000 0.7-1 34.0000 13.2300 32.0643 510 86 0.228571 2009-02-01T14:19 49 684 0.342857 2009-02-03T13:36:30.000 5.46071 -5.46071 1.34939 1.37415
run_001 280 19 80.0000 0.7-1 34.0000 12.3000 33.7600 556 70 0.278421 2009-02-01T13:02 45 701 0.347369 2009-02-03T11:39:53.684 7.40842 -7.40842 0.573138 0.588843
run_001 330 34 30.0000 0.7-1 34.0000 10.1097 32.8000 468 105 0.298235 2009-02-01T14:19 46 646 0.405882 2009-02-03T16:35:44.118 2.47647 -2.47647 0.490839 0.498220
run_001 340 44 20.0000 0.7-1 34.0000 9.00500 30.2325 375 79 0.497273 2009-02-01T14:19 46 670 0.618182 2009-02-04T00:11:01.364 5.11114 5.11114 2.01944 2.04278
run_001 350 47 10.0000 0.7-1 34.0000 7.45761 25.6633 382 85 0.573261 2009-02-01T14:19 46 725 0.539130 2009-02-03T22:55:14.348 4.26239 3.84674 3.31613 3.35277
run_069 290 9 70.0000 0.7-1 34.0000 12.5300 33.8100 680 24 0.795556 2009-05-15T10:20 47 625 0.444445 2009-05-17T13:13:20.000 12.9778 -12.9778 0.477139 0.506082
run_069 300 9 60.0000 0.7-1 34.0000 12.2300 33.5300 677 31 0.761111 2009-05-15T10:20 46 598 0.377778 2009-05-17T14:25:33.333 11.7744 -11.7744 0.810516 0.859682
run_069 310 46 50.0000 0.7-1 34.0000 11.9300 33.7100 381 84 0.393478 2009-05-15T10:20 47 619 0.336957 2009-05-17T21:54:46.957 4.28652 -4.28652 1.09498 1.10707
run_069 320 45 40.0000 0.7-1 34.0000 10.8871 32.9400 378 82 0.438444 2009-05-15T10:20 46 637 0.542222 2009-05-17T22:20:18.667 3.85511 -3.85511 1.27490 1.28930
run_069 330 48 30.0000 0.7-1 34.0000 10.0450 31.3700 387 87 0.440625 2009-05-15T10:20 46 649 0.656250 2009-05-17T20:31:25.000 5.66979 -5.66979 1.32295 1.33695
run_069 340 47 20.0000 0.7-1 34.0000 8.76936 28.9253 384 85 0.479787 2009-05-15T10:20 47 689 0.674468 2009-05-17T20:21:31.915 5.83021 -5.83021 2.28302 2.30771
run_069 350 49 10.0000 0.7-1 34.0000 7.29898 25.4900 391 90 0.550408 2009-05-15T10:20 46 746 0.587755 2009-05-17T19:05:48.980 7.09959 -7.09429 3.35096 3.38568
run_019 270 8 90.0000 0.7-1 34.0000 12.4400 31.6338 546 79 0.246250 2009-06-12T10:20 47 643 0.687500 2009-06-14T13:23:45.000 17.3213 -17.3213 0.717660 0.767211
