run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_001 280 18 80.0000 0.7-1 50.0000 12.9400 33.9600 598 68 0.140556 2009-02-01T13:02 47 810 0.155556 2009-02-03T05:07:00.000 6.32167 -6.32167 0.675181 0.694756
run_001 290 2 70.0000 0.7-1 50.0000 12.9300 35.4400 687 17 0.0250000 2009-02-01T13:02 47 826 0.300000 2009-02-03T03:12:00.000 8.24000 -8.24000 0.00000 0.00000
run_001 330 43 30.0000 0.7-1 50.0000 10.4798 33.0202 476 125 0.285349 2009-02-01T13:02 46 753 0.411628 2009-02-03T10:00:23.721 1.43558 -1.43558 0.590759 0.597751
run_001 340 59 20.0000 0.7-1 50.0000 9.51779 31.2990 511 130 0.280678 2009-02-01T13:02 46 811 0.698305 2009-02-03T06:49:41.695 4.61627 -4.61627 0.729671 0.735935
run_001 350 40 10.0000 0.7-1 50.0000 8.25950 26.5528 485 143 0.128000 2009-02-01T13:02 47 922 0.367500 2009-02-03T01:19:06.000 10.1275 -10.1275 0.638791 0.646929
run_069 270 4 90.0000 0.7-1 50.0000 12.1700 32.7000 662 32 0.0475000 2009-05-15T09:02 46 773 0.200000 2009-05-17T03:42:00.000 11.4900 -11.4900 0.00000 0.00000
run_069 310 29 50.0000 0.7-1 50.0000 11.6400 33.5500 531 75 0.268276 2009-05-15T09:02 46 714 0.200000 2009-05-17T08:50:37.241 6.34310 -6.34310 0.536638 0.546136
run_069 320 48 40.0000 0.7-1 50.0000 11.2500 33.2700 488 126 0.308333 2009-05-15T09:02 46 732 0.300000 2009-05-17T08:50:07.500 6.35188 -6.35188 0.904444 0.914015
run_069 330 60 30.0000 0.7-1 50.0000 10.4015 31.9810 468 125 0.321333 2009-05-15T09:02 46 763 0.461667 2009-05-17T08:05:21.000 7.09950 -7.09950 0.679756 0.685492
run_069 340 71 20.0000 0.7-1 50.0000 9.45154 30.1383 459 129 0.370141 2009-05-15T09:02 46 811 0.387324 2009-05-17T07:07:10.986 8.07014 -8.07014 1.21620 1.22485
