run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_043 340 24 20.0000 0.7-1 18.0000 7.42500 26.4425 312 43 0.417500 2008-07-05T00:54 46 446 0.0458333 2008-07-08T09:17:35.000 8.46583 -8.46583 0.990971 1.01228
run_043 350 25 10.0000 0.7-1 18.0000 5.59000 20.8875 312 43 0.393750 2008-07-05T00:54 46 459 0.129167 2008-07-08T07:54:35.000 9.84917 -9.84917 1.43089 1.46167
run_061 270 15 90.0000 0.7-1 18.0000 12.0700 30.5200 665 28 1.08533 2008-07-17T16:54 46 438 0.200000 2008-07-20T01:40:40.000 26.4120 -26.4120 0.734885 0.760678
run_061 280 21 80.0000 0.7-1 18.0000 12.3900 32.2400 646 38 0.827619 2008-07-17T16:54 46 413 0.700000 2008-07-20T04:58:45.714 23.1100 -23.1100 0.907120 0.929522
run_061 300 28 60.0000 0.7-1 18.0000 12.0700 34.2300 550 50 0.378571 2008-07-17T16:54 47 421 0.717857 2008-07-20T17:35:04.286 10.5054 -10.5054 0.453341 0.461660
run_061 310 17 50.0000 0.7-1 18.0000 11.3200 33.8700 511 46 0.178824 2008-07-17T16:54 46 418 0.200000 2008-07-20T21:51:38.824 6.22882 -6.22882 0.377295 0.388907
run_061 320 21 40.0000 0.7-1 18.0000 10.3700 32.6800 496 69 0.181905 2008-07-17T16:54 46 411 0.100000 2008-07-20T22:48:45.714 5.27762 -5.27762 0.577811 0.592080
run_061 330 20 30.0000 0.7-1 18.0000 8.86000 30.2600 300 36 0.378000 2008-07-17T16:54 45 423 0.100000 2008-07-21T05:35:00.000 1.49150 1.49150 0.678662 0.696293
run_061 340 20 20.0000 0.7-1 18.0000 7.39000 26.2950 300 36 0.448500 2008-07-17T16:54 46 434 0.0300000 2008-07-21T05:30:30.000 1.59350 1.41750 1.15033 1.18022
run_061 350 21 10.0000 0.7-1 18.0000 5.55000 20.9005 303 38 0.509048 2008-07-17T16:54 46 443 0.0904762 2008-07-21T04:26:17.143 1.59714 0.345715 1.90458 1.95162
run_003 270 5 90.0000 0.7-1 18.0000 12.6400 30.8600 695 11 1.46000 2008-09-10T15:37 48 566 0.220000 2008-09-12T17:59:00.000 7.63000 -7.63000 0.521114 0.582623
run_003 280 8 80.0000 0.7-1 18.0000 12.8100 32.1100 687 13 1.39125 2008-09-10T15:37 48 560 0.125000 2008-09-12T18:43:15.000 6.89250 -6.89250 0.288173 0.308070
run_003 290 8 70.0000 0.7-1 18.0000 12.6700 33.3000 687 13 1.18500 2008-09-10T15:37 47 553 0.0750000 2008-09-12T19:15:45.000 6.35000 -6.35000 0.196214 0.209762
run_003 300 8 60.0000 0.7-1 18.0000 12.2000 34.5800 687 13 1.15375 2008-09-10T15:37 47 541 0.0875000 2008-09-12T19:40:45.000 5.93250 -5.93250 0.202901 0.216910
run_003 310 11 50.0000 0.7-1 18.0000 11.4100 34.0400 683 17 1.13556 2008-09-10T15:37 46 526 0.166667 2008-09-12T20:28:06.667 5.14667 -5.14667 0.298105 0.316188
run_003 320 12 40.0000 0.7-1 18.0000 10.2800 33.7000 675 21 1.08000 2008-09-10T15:37 45 509 0.283333 2008-09-12T21:42:50.000 3.90083 -3.90083 0.362203 0.378309
run_003 330 16 30.0000 0.7-1 18.0000 8.98400 30.8527 665 28 1.09267 2008-09-10T16:54 45 475 0.260000 2008-09-12T23:25:44.000 2.18400 -2.18400 0.563073 0.582835
run_003 340 24 20.0000 0.7-1 18.0000 7.44250 26.8875 637 43 0.726250 2008-09-10T16:54 46 457 0.783334 2008-09-13T04:07:05.000 2.50708 2.50708 0.801958 0.819207
run_003 350 27 10.0000 0.7-1 18.0000 5.66000 21.7252 327 49 0.344815 2008-09-10T16:54 46 465 0.555556 2008-09-13T19:07:04.444 17.5067 17.5067 0.782091 0.796990
run_012 270 25 90.0000 0.7-1 18.0000 12.6600 31.0700 634 46 0.583600 2008-11-09T20:54 47 477 0.120000 2008-11-12T08:10:48.000 26.7796 -26.7796 0.793420 0.809781
run_012 280 24 80.0000 0.7-1 18.0000 12.5300 32.8575 637 43 0.673750 2008-11-09T20:54 46 445 0.341667 2008-11-12T08:31:55.000 26.4283 -26.4283 0.693377 0.708290
run_012 290 24 70.0000 0.7-1 18.0000 12.3700 34.4300 637 43 0.699583 2008-11-09T20:54 45 382 0.312500 2008-11-12T09:47:20.000 25.1704 -25.1704 0.866287 0.884919
run_012 300 35 60.0000 0.7-1 18.0000 12.0600 34.8200 602 64 0.571143 2008-11-09T20:54 45 386 0.691429 2008-11-12T15:28:17.143 19.4889 -19.4889 1.17983 1.19705
run_012 310 25 50.0000 0.7-1 18.0000 11.5100 34.8400 509 46 0.254400 2008-11-09T20:54 46 397 0.600000 2008-11-13T01:37:12.000 9.33960 -9.33960 0.452411 0.461740
run_012 320 20 40.0000 0.7-1 18.0000 10.6600 33.3500 300 36 0.393000 2008-11-09T20:54 46 415 0.270000 2008-11-13T07:31:30.000 3.43450 -3.43450 0.705638 0.723969
run_012 330 24 30.0000 0.7-1 18.0000 9.14500 31.4225 312 43 0.565417 2008-11-09T20:54 45 431 0.220833 2008-11-13T04:49:40.000 6.13292 -6.13292 0.850737 0.869035
run_012 340 24 20.0000 0.7-1 18.0000 7.65500 27.3975 312 43 0.450417 2008-11-09T20:54 46 445 0.104167 2008-11-13T02:46:20.000 8.18958 -8.18958 0.990339 1.01164
run_012 350 25 10.0000 0.7-1 18.0000 5.76500 21.9400 312 43 0.425417 2008-11-09T20:54 46 459 0.0833333 2008-11-13T01:22:30.000 9.58750 -9.58750 1.40539 1.43561
run_039 270 23 90.0000 0.7-1 18.0000 12.4300 31.2100 563 89 0.216522 2009-01-01T07:37 46 495 0.200000 2009-01-03T22:29:36.522 3.83000 3.83000 0.996354 1.01875
run_039 280 25 80.0000 0.7-1 18.0000 12.7800 32.9700 615 53 0.277600 2009-01-01T07:37 46 510 0.196000 2009-01-03T19:59:48.000 1.33400 1.33400 0.543514 0.554722
run_039 290 24 70.0000 0.7-1 18.0000 12.8000 34.0300 637 43 0.300417 2009-01-01T07:37 47 520 0.158333 2009-01-03T17:51:10.000 0.811250 -0.811250 0.229843 0.234786
run_039 300 23 60.0000 0.7-1 18.0000 12.4800 35.3300 640 42 0.510870 2009-01-01T07:37 47 526 0.113043 2009-01-03T16:28:44.348 2.18348 -2.18348 0.206852 0.211501
run_039 310 21 50.0000 0.7-1 18.0000 11.8900 34.7200 646 38 0.360000 2009-01-01T07:37 47 545 0.219048 2009-01-03T15:26:02.857 3.22857 -3.22857 0.303571 0.311067
run_039 320 17 40.0000 0.7-1 18.0000 10.9500 33.7853 658 31 0.554706 2009-01-01T07:37 47 562 0.217647 2009-01-03T13:02:52.941 5.61529 -5.61529 0.221999 0.228832
run_039 330 11 30.0000 0.7-1 18.0000 9.41727 31.9227 677 20 0.975455 2009-01-01T07:37 46 581 0.118182 2009-01-03T10:07:32.727 8.53455 -8.53455 0.233758 0.245168
run_001 270 22 90.0000 0.7-1 18.0000 12.2300 30.8214 578 60 0.196818 2009-02-01T15:37 45 466 0.100000 2009-02-04T10:08:21.818 1.94182 1.94182 0.781826 0.800224
run_001 280 27 80.0000 0.7-1 18.0000 12.5200 32.8559 591 60 0.218519 2009-02-01T15:37 45 476 0.100000 2009-02-04T08:39:57.778 0.615185 0.468519 0.626145 0.638072
